,Reviewer 1,,File path / Url path,,New location,,blocked?,Comments/matters,Does the content fit the purpose of the category or needs improvement,Who can own? Support/PSAs/DX,Suggest missing content,Are there any gaps in this new structure?
,,,https://tyk.io/docs/basic-config-and-security/security/gateway,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/key-hashing,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/key-level-security,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/mutual-tls,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> MTLS,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/mutual-tls/client-mtls,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> MTLS,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/mutual-tls/concepts,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> MTLS,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/mutual-tls/upstream-mtls,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> MTLS,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/owasp-top-ten,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/password-policy,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/security-policies,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Security Policies,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/security-policies/partitioned-policies,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Security Policies,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/security-policies/policies-guide,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Security Policies,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/tls-and-ssl,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/your-apis,,Page doesn't exists,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/your-apis/oauth20,,Page doesn't exists,show:true,,,,,,
,,,https://tyk.io/docs/basic-config-and-security/security/your-apis/oauth20/revoke-oauth-tokens,,Product Stack --> Tyk Gateway --> Basic Config and Security --> Security --> Authentication and Authorization,show:true,,,,,,
,,,https://tyk.io/docs/concepts,,Page doesn't exists,show:true,,,,,,
,,,https://tyk.io/docs/concepts/middleware-execution-order,,Product Stack --> Tyk Gateway --> Key Concepts,show:true,,,,,,
,,,https://tyk.io/docs/configure,,Page doesn't exists,show:true,,,,,,
,,,https://tyk.io/docs/configure/outbound-email-configuration,,Product Stack --> Tyk Manager --> Advanced Configurations,show:true,,,,,,
,,,https://tyk.io/docs/context-variables,,Product Stack --> Tyk Gateway --> Advanced Configurations,show:true,,,,,,
,,,https://tyk.io/docs/contribute,,Developer Support --> Contribute to Tyk Docs,show:true,,,,,,
,,,https://tyk.io/docs/dashboard-admin-api,,Product Stack --> Tyk Manager --> API Documentation,show:true,,,,,,
,,,https://tyk.io/docs/dashboard-admin-api/organisations,,Product Stack --> Tyk Manager,show:true,,,,,,
